min_carry_spread,momentum_weight,trend_filter_sma,atr_stop_multiplier,composite_threshold,tp_multiplier,max_risk_per_pair,total_return,sharpe,sortino,max_drawdown,num_trades,win_rate,profit_factor,avg_holding_days
0.005,0.6,50,3.0,0.08,4.0,0.01,-0.0009621665928373113,-0.1364834382547347,-0.16986590026156273,0.0046092516866866485,27,0.25925925925925924,0.9132428700804291,172.77777777777777
0.02,0.6,50,2.5,0.1,1.5,0.025,-0.0018819197097106372,-0.1428539762949584,-0.14707304965584508,0.006440445292354921,50,0.42,1.0304483837748932,49.9
0.01,0.6,50,2.5,0.08,3.0,0.015,-0.001604483941244107,-0.15530156580232718,-0.19726372943838877,0.006514221354897854,36,0.2777777777777778,0.936323514207226,120.52777777777777
0.005,0.6,50,3.0,0.05,3.0,0.015,-0.001859623060439626,-0.15840977443688803,-0.21575774332846126,0.00858851642024,47,0.2978723404255319,0.9601736499740687,112.8936170212766
0.015,0.6,20,2.0,0.08,2.0,0.015,-0.001342531610219885,-0.16034513360612054,-0.17841326118788722,0.004591089790938268,78,0.358974358974359,1.0682832490117433,38.1025641025641
0.005,0.6,50,2.5,0.08,4.0,0.025,-0.002780291968265956,-0.16062476965331537,-0.20796027618491583,0.011768131322014526,37,0.24324324324324326,0.9358927234080808,121.94594594594595
0.005,0.5,50,3.0,0.03,4.0,0.025,-0.003651759759398992,-0.17011421774294488,-0.20218249538288058,0.012249045424896975,27,0.25925925925925924,0.8421118150077385,215.92592592592592
0.005,0.5,50,3.0,0.03,4.0,0.015,-0.0021936846672066896,-0.1713354367205763,-0.20363921235457158,0.0073746683258606805,27,0.25925925925925924,0.8421621576981074,215.92592592592592
0.01,0.7,50,2.0,0.08,1.5,0.025,-0.0026037621323890927,-0.17507734250127202,-0.20612261006615223,0.008878632456280657,104,0.4230769230769231,1.0944409317290191,28.96153846153846
0.01,0.7,50,2.0,0.08,1.5,0.02,-0.0020793696595629444,-0.1751799242276684,-0.20623514305960952,0.007107051332959395,104,0.4230769230769231,1.09463917339093,28.96153846153846
0.02,0.6,50,3.0,0.08,4.0,0.015,-0.001548125331816991,-0.17575358247885634,-0.20880841331512257,0.0059567582609486545,24,0.25,0.8794319845253417,139.45833333333334
0.005,0.6,50,3.0,0.05,1.5,0.025,-0.0032538367384507727,-0.1780260946073365,-0.229684585751251,0.01179206852853869,74,0.44594594594594594,1.0103979600487407,64.52702702702703
0.01,0.7,20,2.5,0.08,3.0,0.02,-0.0025785075158576364,-0.18080646491664462,-0.2307065183210675,0.010424350876305152,40,0.275,0.9199643687808612,104.275
0.02,0.6,50,3.0,0.03,4.0,0.02,-0.002069355543626443,-0.1818141629108325,-0.25076271817475765,0.009594934417561766,36,0.25,0.9507458968384366,162.19444444444446
0.005,0.6,50,2.5,0.03,4.0,0.02,-0.002776976616044558,-0.18582464969271,-0.24995747790921488,0.010932323437659612,43,0.2558139534883721,0.9240172675686465,130.27906976744185
0.01,0.6,20,2.5,0.08,2.5,0.02,-0.002543233272042853,-0.18684573462467544,-0.2372341746000387,0.008987151983223259,47,0.3191489361702128,0.9499349488275954,93.02127659574468
0.02,0.5,20,3.0,0.1,4.0,0.025,-0.0024860478614656314,-0.18969144304796506,-0.22465634176440513,0.00899453610295518,18,0.2222222222222222,0.8481494692055558,145.05555555555554
0.02,0.4,20,3.0,0.1,2.5,0.025,-0.0021799459027299598,-0.19143423269653226,-0.23368170632827892,0.009022459833773627,27,0.2962962962962963,0.9389214353225958,93.33333333333333
0.02,0.6,50,2.0,0.1,2.0,0.02,-0.002094747640349815,-0.19447755628567545,-0.2037134166563531,0.005579205424447852,55,0.32727272727272727,1.004664674086767,42.018181818181816
0.005,0.6,50,2.5,0.08,3.0,0.02,-0.0026891597554019246,-0.19468620874552597,-0.24450284939242198,0.009220938665425183,37,0.2702702702702703,0.8998358195902985,117.67567567567568
0.02,0.6,50,2.0,0.1,2.0,0.015,-0.0015698570396172,-0.19468934586472098,-0.20391973527101898,0.004186935548432502,55,0.32727272727272727,1.004778170403911,42.018181818181816
0.005,0.4,20,2.5,0.02,4.0,0.015,-0.0025265906684102083,-0.1951082733209016,-0.23740523286199477,0.007684769163147961,39,0.2564102564102564,0.8723861062178422,151.74358974358975
0.01,0.6,20,2.5,0.03,2.5,0.01,-0.001555219930117455,-0.19621140338190096,-0.23060594992606742,0.00608425091334223,68,0.3088235294117647,0.9773534607210586,83.88235294117646
0.01,0.6,20,2.5,0.03,3.0,0.015,-0.002078162209207949,-0.1995214955766018,-0.25745440860324553,0.0058584221598710065,60,0.26666666666666666,0.9771546161450936,95.78333333333333
0.01,0.7,20,2.5,0.08,2.5,0.025,-0.0035371524731423413,-0.20073468517295281,-0.2541892407386758,0.013248312676653473,48,0.2916666666666667,0.9340788935870714,86.1875
0.01,0.7,20,3.0,0.08,1.5,0.02,-0.00274729084408973,-0.2045746300761773,-0.256030763104793,0.009620560986414155,53,0.4339622641509434,0.954736968335811,76.71698113207547
