min_carry_spread,momentum_weight,trend_filter_sma,atr_stop_multiplier,composite_threshold,total_return,sharpe,sortino,max_drawdown,num_trades,win_rate,profit_factor,avg_holding_days
0.005,0.2,50,2.0,0.08,-0.006960119519184082,-0.623684678249683,-0.7595076695024637,0.010695656881052293,83,0.25301204819277107,0.7481837817558724,46.626506024096386
0.015,0.2,20,2.5,0.03,-0.006105519966400316,-0.6247894382302017,-0.6956009831140318,0.008679706291420326,51,0.23529411764705882,0.6770470068386149,76.96078431372548
0.01,0.3,20,2.5,0.03,-0.007336091401044978,-0.6259190605311375,-0.7520672288006487,0.011188321246442128,60,0.21666666666666667,0.6531664368481286,94.93333333333334
0.015,0.3,50,2.5,0.08,-0.005493008932058001,-0.6259850295496401,-0.7382925445195694,0.007679678803730023,37,0.1891891891891892,0.5962884897966182,85.35135135135135
0.01,0.4,20,2.0,0.1,-0.005793831761190522,-0.6290202004256618,-0.7585520754747694,0.008643622115615939,60,0.25,0.7039078301172912,49.71666666666667
0.005,0.4,50,2.0,0.1,-0.005959905358012038,-0.6290929495145628,-0.7114142347883008,0.009065186408799195,57,0.24561403508771928,0.680042481516509,51.771929824561404
0.02,0.2,20,2.0,0.05,-0.005229810871910013,-0.6302791408977169,-0.6919358843426692,0.007994067680125639,56,0.25,0.7372892471435195,43.535714285714285
0.01,0.2,20,2.0,0.08,-0.006974370637181856,-0.6338837838508043,-0.7769773702487343,0.010371615281442838,77,0.24675324675324675,0.7250837140890157,51.96103896103896
0.02,0.4,100,2.0,0.08,-0.0053798308444113355,-0.6366901442279166,-0.6789495802710354,0.009307610633026483,56,0.25,0.7168140089340236,46.94642857142857
0.005,0.2,100,2.0,0.05,-0.007609905281481915,-0.6369546394399609,-0.7476307751752602,0.010201843376093,88,0.25,0.7408263461172666,52.67045454545455
0.01,0.2,50,2.0,0.05,-0.0072775986457146065,-0.6385182009858477,-0.7530679407861669,0.010053712887357461,83,0.25301204819277107,0.7407434406373702,53.48192771084337
0.015,0.3,20,2.0,0.05,-0.006393789002323465,-0.6401219149860546,-0.6878378031932456,0.010405360560742979,75,0.26666666666666666,0.750635255884147,51.32
0.015,0.4,50,2.5,0.1,-0.0054161269615292254,-0.6470266727662339,-0.7251809917301207,0.008957534045237732,40,0.2,0.6429900115942131,71.6
0.015,0.5,100,2.5,0.08,-0.005655693817824067,-0.6470416859696226,-0.7161635679665285,0.008039361646630426,44,0.18181818181818182,0.6368780093288346,74.06818181818181
0.015,0.5,50,2.0,0.05,-0.006421279953395424,-0.6474493806837477,-0.7430459970263463,0.010501884919107111,88,0.2727272727272727,0.7906562589055746,50.36363636363637
0.01,0.4,50,2.5,0.1,-0.006532141074765241,-0.6482433119894936,-0.7629497238713226,0.010651223495958576,45,0.2,0.6103711114938849,76.55555555555556
0.01,0.5,20,2.0,0.03,-0.007517210962139215,-0.653147191936572,-0.7787096747831864,0.01199450270449545,109,0.26605504587155965,0.8090043859641491,51.11009174311926
0.005,0.4,20,2.0,0.03,-0.007983464420820529,-0.6536787645812464,-0.7448923271091559,0.011217367934071514,114,0.2631578947368421,0.8063824633944175,48.578947368421055
0.02,0.5,20,2.0,0.05,-0.0063658984972140755,-0.6564396289863779,-0.7395288386101163,0.010296886377337328,83,0.26506024096385544,0.7798256867531195,51.48192771084337
0.005,0.4,50,2.5,0.08,-0.007713699566594732,-0.6586023815851337,-0.7972144264195955,0.011764812023828978,60,0.21666666666666667,0.645663975091961,76.56666666666666
0.01,0.2,50,2.0,0.03,-0.008736379020151216,-0.6586171545011738,-0.7397808928350712,0.013011129426655907,94,0.2553191489361702,0.7189356285580841,54.87234042553192
0.005,0.3,20,2.0,0.05,-0.008069269087206631,-0.6624403132829797,-0.7980484272772518,0.011683954677214888,94,0.2553191489361702,0.7394378158765331,54.776595744680854
